TimeStep [s],Np,Nbound,Nfixed,Nmoving,Nfloat,Nfluid
0.800017,29286,0,0,0,0,29286

Pos.x [m],Pos.y [m],Pos.z [m],Zone,Idp,Vel.x [m/s],Vel.y [m/s],Vel.z [m/s],Rhop [kg/m^3],Mass [kg],Press [Pa],Type,Mk,
  2.6395729E-01,  8.8386029E-02,  5.4994997E-02,0,13562, -3.0938704E-02,  3.4977723E-02,  1.5495161E-02,  1.0014966E+03,  1.5625000E-02,  3.2444609E+03,3,1,
  2.3681343E-01,  1.0051050E-01,  5.3604357E-02,0,12850, -6.0774561E-02, -4.7339037E-02,  3.6642388E-02,  1.0012866E+03,  1.5625000E-02,  2.7873938E+03,3,1,
  2.5909239E-01,  1.0456464E-01,  5.2962657E-02,0,13517, -1.2752359E-01,  4.5617700E-02,  4.7966473E-02,  1.0017643E+03,  1.5625000E-02,  3.8278867E+03,3,1,
  2.8042135E-01,  1.0020582E-01,  5.3719487E-02,0,14184,  2.8866889E-02, -2.2693437E-02,  3.8719449E-02,  1.0018121E+03,  1.5625000E-02,  3.9322729E+03,3,1,
  2.9450268E-01,  9.4173864E-02,  5.2635666E-02,0,14252, -4.2336337E-02, -5.6916956E-02,  4.5480385E-02,  1.0018522E+03,  1.5625000E-02,  4.0196394E+03,3,1,
  2.5038463E-01,  1.2445051E-01,  5.0217226E-02,0,12918, -4.6531003E-02,  9.6557103E-02,  2.2631399E-02,  1.0023557E+03,  1.5625000E-02,  5.1201709E+03,3,1,
  2.7429393E-01,  1.1889756E-01,  4.9990900E-02,0,14275, -8.0206335E-02,  4.5713540E-02,  3.2149130E-03,  1.0023914E+03,  1.5625000E-02,  5.1982012E+03,3,1,
  2.3121840E-01,  1.2481230E-01,  5.5895835E-02,0,13586, -4.1450705E-02, -1.1184039E-01,  4.5321979E-02,  1.0012694E+03,  1.5625000E-02,  2.7500942E+03,3,1,
  2.9356894E-01,  1.2497712E-01,  5.3259928E-02,0,14276, -3.7207812E-02, -1.3266572E-01, -4.3850113E-02,  1.0020925E+03,  1.5625000E-02,  4.5444126E+03,3,1,
  2.7310923E-01,  1.3585071E-01,  5.4703183E-02,0,13609, -1.7134854E-01, -1.4960390E-01, -6.6269040E-02,  1.0016325E+03,  1.5625000E-02,  3.5405796E+03,3,1,
  2.4989329E-01,  8.4333070E-02,  5.2957170E-02,0,12826, -2.8937351E-02,  1.0308339E-01, -6.7693278E-02,  1.0016730E+03,  1.5625000E-02,  3.6287837E+03,3,1,
  2.1925306E-01,  1.4059705E-01,  5.2217584E-02,0,12942, -1.5793855E-01, -1.7219514E-01,  8.6702267E-03,  1.0020118E+03,  1.5625000E-02,  4.3682490E+03,3,1,
  3.0779764E-01,  1.2703337E-01,  5.0775670E-02,0,14942, -5.8600586E-02, -1.9216968E-02, -9.1952272E-03,  1.0021609E+03,  1.5625000E-02,  4.6939717E+03,3,1,
  3.2296899E-01,  8.6939842E-02,  5.4681636E-02,0,14229,  7.7944994E-02, -1.8574461E-02,  2.1244818E-02,  1.0017564E+03,  1.5625000E-02,  3.8107136E+03,3,1,
