Pos.x [m];Pos.y [m];Pos.z [m];PartOut;Motive;Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];
  1.9749445E-01;  5.2991462E-01; -2.1001434E-02;115;1;370402;  5.5600750E-01; -9.0404123E-02; -2.0742594E-01;  9.9929828E+02;
  7.7395886E-01;  7.6992089E-01; -2.1000162E-02;115;1;441697;  2.6329488E-01;  1.1034308E-02; -1.5509740E-02;  9.9945721E+02;
  7.6535046E-01;  7.7352750E-01; -2.1000937E-02;115;1;425654;  3.8716775E-01;  5.0142992E-02; -4.5162506E-02;  9.9939355E+02;
  2.0277549E-01;  5.4024094E-01; -2.1000044E-02;116;1;378152; -2.2576907E-01; -5.4297846E-02; -1.2161571E-01;  9.9739545E+02;
  2.1755561E-01;  4.8475185E-01; -2.1003153E-02;116;1;370893;  8.1372154E-01;  4.9042696E-01; -3.6361387E-01;  9.9825244E+02;
  2.2067928E-01;  4.8714110E-01; -2.1000756E-02;116;1;381493;  9.0045744E-01; -3.1600085E-01; -4.3455240E-01;  9.9790063E+02;
  3.0049405E-01;  6.6693962E-01; -2.1002373E-02;116;1;370689;  4.7941697E-01; -6.2658161E-02; -1.2423719E-01;  9.9525342E+02;
  2.2008860E-01;  4.9004534E-01; -2.1007026E-02;116;1;381492;  9.1472113E-01;  6.1706483E-01; -3.1281099E-01;  9.9847705E+02;
  2.0472802E-01;  5.2969736E-01; -2.1005364E-02;116;1;394495; -3.4911999E-01; -4.3507393E-02; -2.4086837E-01;  9.9616345E+02;
  2.1714331E-01;  4.7967440E-01; -2.1002278E-02;116;1;381546;  2.0261308E-02;  6.5657109E-01; -2.7949259E-01;  9.9855328E+02;
  2.1871674E-01;  4.9414027E-01; -2.1009466E-02;116;1;370841;  2.3645163E+00;  4.9840859E-01; -3.6893553E-01;  9.9590271E+02;
  2.1671309E-01;  4.8801431E-01; -2.1002825E-02;116;1;376203;  1.8547562E+00;  9.5190370E-01; -4.2751443E-01;  9.9568732E+02;
